"","AGE","EDU","GENDER","SEXUAL_ORIENTATION","RELATIONSHIP","SOI_1","SOI_2","SOI_3","SOI_4","SOI_5","SOI_6","SOI_7","SOI_8","SOI_9"
"1","24",3,"F","0",1,2,1,1,8,6,2,6,6,6
"2","23",3,"F","0",0,6,6,8,8,7,1,6,5,4
"3","26",3,"M","0",1,2,8,8,9,7,2,5,6,6
"4","24",3,"F","0",0,3,1,2,9,1,3,5,3,3
"5","24",2,"M","1",0,1,1,1,1,3,5,2,7,3
"6","23",3,"F","0",1,2,1,2,8,6,5,4,2,2
"7","25",2,"F","0",1,2,2,3,6,6,3,2,2,2
"8","23",3,"F","0",1,2,2,6,7,6,4,4,3,2
"9","23",3,"F","0",0,1,1,1,9,7,1,8,7,2
"10","23",3,"F","0",0,4,1,4,8,7,3,7,5,5
"11","28",3,"F","0",1,2,1,1,5,1,9,2,1,1
"12","23",3,"F","0",0,2,2,3,8,8,4,2,2,2
"13","27",2,"M","0",1,2,2,1,2,1,6,2,1,1
"14","23",4,"F","0",1,2,1,1,4,3,7,5,3,4
"15","28",4,"M","0",0,5,1,3,9,9,1,4,1,2
"16","25",2,"F","0",0,1,1,1,4,1,4,4,5,4
"17","20",2,"F","0",0,3,2,2,2,1,4,7,4,3
"18","23",2,"F","0",0,2,2,2,9,9,1,4,2,2
"19","23",2,"F","0",0,2,1,1,9,8,1,7,7,4
"20","24",2,"F","0",0,4,4,6,9,6,2,8,7,6
"21","23",2,"F","0",0,6,3,7,9,9,1,9,8,5
"22","23",2,"F","0",1,1,1,1,7,2,2,7,2,2
"23","23",3,"F","0",0,2,1,1,7,1,9,2,2,1
"24","26",3,"F","1",1,3,6,6,9,9,1,7,7,2
"25","19",2,NA,"1",1,2,2,1,7,8,2,7,6,6
"26","23",3,"M","0",0,1,1,1,7,2,7,3,2,2
"27","24",2,"F","0",0,2,2,1,4,3,5,6,6,4
"28","23",2,"F","0",1,2,1,1,5,1,7,3,2,2
"29","24",2,"F","1",1,2,2,3,9,5,4,9,6,6
"30","23",2,"F","1",1,2,2,8,9,9,1,6,6,4
"31","30",3,"M","0",0,2,1,2,5,4,1,8,6,7
"32","25",4,"F","0",1,4,1,2,9,7,4,1,2,2
"33","23",3,"M","0",1,2,1,1,8,2,3,7,2,3
"34","22",2,"M","0",0,2,2,2,5,7,4,5,3,3
"35","20",2,"F","1",0,1,3,3,9,6,1,6,6,4
"36","24",2,"F","1",1,2,4,6,9,9,1,5,3,5
"37","23",4,"F","0",1,1,3,2,9,6,2,5,4,5
"38","26",4,"F","0",1,2,1,2,6,2,5,3,3,2
"39","25",2,"F","0",1,2,2,7,9,8,2,6,2,3
"40","23",3,"F","1",0,1,1,1,3,2,5,5,3,2
"41","23",3,"M","0",1,1,1,1,7,2,7,5,1,2
"42","23",3,"F","0",0,2,2,2,8,6,6,3,1,2
"43","29",2,"M","0",0,1,3,1,1,1,7,7,6,7
"44","24",3,"F","0",0,3,3,2,1,2,8,4,5,4
"45","23",3,"F","0",1,2,5,4,5,2,8,2,2,2
"46","25",4,"F","0",0,2,2,2,9,1,2,2,1,1
"47","22",2,"F","0",1,2,2,1,8,8,3,4,2,2
"48","21",2,"F","1",0,1,2,1,9,8,2,5,2,1
"49","26",4,"F","0",0,1,2,4,7,2,6,3,3,3
"50","23",3,"M","0",1,2,1,1,9,5,3,1,2,1
"51","22",3,"F","0",1,2,2,2,7,4,3,2,2,1
"52","25",3,"F","0",0,3,2,3,9,1,6,8,4,9
"53","24",4,"F","0",1,2,2,2,9,1,3,2,1,1
"54","26",4,"F","0",1,2,6,7,9,9,1,4,4,3
"55","22",2,"F","0",0,2,2,3,5,2,4,8,4,7
"56","26",3,"M","1",0,4,7,6,7,8,7,9,4,7
"57","24",4,"F","0",1,6,7,8,9,9,1,6,4,3
"58","23",3,"F","0",1,2,1,1,6,2,6,2,3,2
"59","25",4,"F","0",1,2,1,2,9,2,2,4,3,2
"60","20",2,"F","0",1,2,1,1,9,6,3,3,2,2
"61","24",2,"F","0",0,3,3,5,7,8,1,8,7,8
"62","23",2,"F","0",0,1,1,3,3,5,3,9,4,3
"63","22",2,"F","0",1,5,2,3,9,7,3,4,3,3
"64","24",2,"M","1",0,6,6,5,7,6,3,8,7,7
"65","24",3,"M","0",0,3,2,6,3,9,3,9,6,9
"66","24",3,"F","0",0,3,2,2,8,8,1,4,4,5
"67","25",2,"F","0",0,3,4,5,9,8,2,6,4,2
"68","24",3,"M","0",0,1,1,1,9,1,9,2,1,1
"69","24",2,"F","0",0,2,2,1,5,3,6,7,7,6
"70","24",2,"M","0",1,2,1,1,9,9,1,6,7,4
"71","25",3,"F","0",1,2,2,1,3,1,5,5,2,2
"72","28",4,"F","0",0,2,2,1,9,1,1,6,2,1
